Funct-name,Funct-desc
ap,AP Accounts Payable
ap.log,Log On/Off
ap.maintenance,File Maintenance Menu
ap.transaction,Transaction Processing Menu
ap.report,Management Reporting Menu
ap.inquiry,Inquiry Menu
ap.system,System Management Menu
ap.inquiry,Inquiry Menu
vendor.inq,Vendor Profile Inquiry
vendor.perf,Vendor Performance Inquiry
ap.open.inq,Open Item Inquiry
ap.open.detail,Open Item Detailed Inquiry
ap.hist.inq,Closed Item Inquiry
ap.hist.detail,Closed Item Detailed Inquiry
ap.dist.inq,Distribution Inquiry
ap.maintenance,File Maintenance Menu
vendor.maint,A/P Vendor Maintenance
vendor.audit,Vendor Audit Trail
ap-terms.maint,Terms Maintenance
bank.maint,Bank Maintenance
currency.maint,A/P Currency Maintenance
fob.maint,A/P FOB Maintenance
ap-via.maint,A/P Ship VIA Maintenance
buyer.maint,A/P Employee Maintenance
ap.ctrl.maint,Control-File Maintenance
ap.audits,Audit Trails (All Others)
vendor.list,A/P Vendor List
vendor.alpha,Vendor Alpha List
ap-terms.list,Terms List
bank.list,Bank List
currency.list,A/P Currency List
fob.list,A/P FOB List
ap-via.list,A/P Ship Via List
buyer.list,A/P Employee List
ap-state.list,A/P State List
ap.ctrl.list,Control-File List
vendor.short,Vendor Short Listing
gl.maintenance,G/L File Maintenance Menu
ap.report,Management Reporting Menu
open.ap,Open A/P Report
ap.aging,Aging Report
ap.distr,Distribution Report
purch.analysis,Purchase Analysis by Category
vend.analysis,Vendor Performance Analysis
missing.check,Missing Check Numbers Report
ap.mgmt.summry,AP Management Summary
form.alignment,Form Alignment
vendor.label,Print Vendor Labels
ap.history,History Report
unrec,Unreconciled Receipts
onholdr,Receipts On Hold Report
p-card.cover,P-Card Receipt Coversheet
ap.system,System Management Menu
ap.stack.log,Stackable Log On/Off
ap.interface,G/L Interface
ap.distr.purge,Distribution Purge
ap.open.purge,Open-Item Purge
vendor.reset,Vendor Stats Reset
incr.ap.prd,Increment Year/Period
vendor.purge,Vendor Purge
check.purge,Check Numbers Purge
ap.hist.purge,History Purge
ap.transaction,Transaction Processing Menu
payable.entry,Payables Entry
h/r.invoices,Hold/Release Invoices
manual.cash,Manual Cash Disbursement
non-ap.disb,Non-A/P Disbursement
auto.process,Automatic Disbursement Procedure
check.setup,Check Run Setup
cashreq.create,Cash Requirements Creation
cash.req,Cash Requirements Report
cashreq.edit,Cash Requirements Edit
auto.disb,Automatic Cash Disbursement
1099.maint,Manual Form-1099 Adjustment
receipt.recon,Receipt Reconciliation
rcptinq,Voucher Inq / Trans Date Update
auto.recrecon,Auto Voucher Reconciliation
vouch.reg,Payables Voucher Register
check.reg,Check Register
form.alignment,Form Alignment
checks,Print Checks
cashed.checks,Cashed Checks Entry
checks.audit,Checks Audit Trail
print.1099,Print Form 1099
export.1099,Export Form 1099
cmemo.maint,Custom Memo Maintenance
onhold.vouch,Onhold Vouchers
ar,AR Accounts Receivable
ar.log,Log On/Off
ar.maintenance,File Maintenance Menu
ar.transaction,Transaction Processing Menu
ar.report,Management Reporting Menu
ar.inquiry,Inquiry Menu
ar.system,System Management Menu
blank,:
ar.inquiry,Inquiry Menu
customer.inq,Customer Profile Inquiry
perform.inq,Customer Performance Inquiry
open.item.inq,Open Item Inquiry
open.detailed,Open Item Detailed Inquiry
history.inq,Closed Item Inquiry
history.detail,Closed Item Detailed Inquiry
payments.inq,Payments Journal Inquiry
commiss.inq,Commission Journal Inquiry
salesrep.inq,Sales Representative Inquiry
sales.inquiry,Sales Journal Inquiry
ar.dist.inq,Distribution Inquiry
tax.auth.inq,Tax Authority Inquiry
s_arcash,AR cash applied(for cash sessions)
specinq,Invoice Search Inquiry PO#/PPS#
ar-specinqh,Invoice Search Hist. by PO#/PP#
D:cust.inq.2,D:Customer Inquiry - 2 line
d.ar.inv.inql,D:A/R Invoice Inquiry
d.ar.inq.zip,D:A/R Customer Inquiry by Zip(Non)
d.ar.cust.inqi,D:Customer Inquiry by Zip (index)
d.ar.cust.tel,D:Customer Inquiry by Phone (Non)
d.ar.cust.phi,D:Customer Inquiry by Phone(Index)
d.ar.inv.inqi,D:A/R Invoice Inquiry (Indexed)
shipcinq,D:Ship to Inquiry by Customer
shipsinq,D:Ship to Inquiry by Ship to
tax-rate-br,Zipcode Tax Rate Browse
ar.maintenance,File Maintenance Menu
customer.maint,Customer Maintenance
customer.audit,Customer Audit Trail
ship-via.maint,Ship Via Maintenance
terms.maint,Payment Terms Maintenance
terr.maint,Territory Maintenance
tax.maint,Tax Authority Maintenance
type.maint,Customer-Type Maintenance
state.maint,State Maintenance
ar.ctrl.maint,Control-File Maintenance
armemo.maint,Customer Shipping Maint. (Memo)
ar-custpg,Customer AR's Prod Group Maint
nexus-states,Nexus States Maintenance
bank.cal.maint,Bank Calendar Maint
customer.list,Customer List
alpha.list,Alpha Customer List
ship-via.list,Ship Via List
terms.list,Payment Terms List
terr.list,Territory List
tax.list,Tax Authority List
type.list,Customer-Type List
state.list,State List
ar.ctrl.list,Control-File List
ar.audits,Audit Trails (All Others)
ar-custpgl,Customer AR's Prod Group Listing
gl.maintenance,G/L File Maintenance Menu
ar.report,Management Reporting Menu
ar.distr,Distribution Report
customer.perf,Customer Performance Analysis
salesrep.perf,Sales Rep Performance Analysis
ar.mgmt.summry,Management Summary
form.alignment,Form Alignment
customer.label,Print Customer Labels
ar.history,History Report
sales.report,Sales Report
ageing,Aging Report
ar-custlist,Customer Name/Number List
ar-custin,Customer Information Short
custclas,Customer Classification
commrpt,Sales Commission Paid Report
runview,View Report Output From a File
sales-state,Sales by State
rates.maint,Commission Rates Maintenance
salesrep.maint,Sales Rep Commission Maintenance
comm.maint,Commission Maintenance
custslr,Multiple Sales Rep Maintenance
slsrep.maint,Sales Rep Maintenance
commiss.maint,Commission Master Maintenance
ar-mrkt,Marketing Customer Maintenance
sbu-maint,Customer SBU Maintenance
country-maint,Consuming End Country Maintenance
agency,Agency Maintenance
commrefm,Commission Detail Type Maintenance
ar-mngr-maint,AR Manager Maintenance
nexus-states,Nexus States Maintenance
rates.list,Commission Rates List
salesrep.list,Sales Rep Commission List
comm.list,Commission List
fcrpt,Forecast Report
slsrep.list,Sales Rep List
cust.comm.lst,Customer Commission Listing
blank6,:
blank6,:
country-list,Consuming End Country List
agencylst,Agency Listing
ar.system,System Management Menu
ar.stack.log,Stackable Log On/Off
ar.interface,G/L Interface
ar.distr.purge,Distribution Purge
ar.open.purge,Open-Item Purge
customer.reset,Customer Stats Reset
salesrep.reset,Sales Representative Stats Reset
incr.ar.prd,Increment Year/Period
customer.purge,Customer Purge
ar.hist.purge,History Purge
sales.purge,Sales Report Purge
payments.purge,Payments Report Purge
arpaymethod,Maintenance for Payment Method
arbankname,Maintenance for Bank Name
fix-open-item,Fix AR Open Items
ar.transaction,Transaction Processing Menu
sales.entry,Sales and Memo Entry
payments.entry,Payments Entry
pay.sheet,Payment Application Worksheet
dated.maint,Post-Dated Checks Maintenance
dated.audit,Post-Dated Checks Audit Trail
dated.list,Post-Dated Checks List
auto.cash,EDI 820 Cash Import
hold-ar,Customers with No Activity
cc-osc-credit,Credit Card OSC Credit
sales.jrnl,Sales Journal
payments.jrnl,Payments Journal
comm.jrnl,Commission Journal
finance.run,Finance Charge Run
form.alignment,Form Alignment
statements,Customer Statements
payment.report,Payments Report
auto.bill,Automated Billing
lblprt,Bar Code Print Function
bccustitemver,Barcode Compare Item - Cust Item
move-labels,Packaging Labels from Move Tags
blank,:
bb.upc,Blockbuster UPC Label (4X6)
3x4upclbl,Generic 3 x 4 UPC Label
conti-pack,Continental Pack Label (3x4)
bill-funct,Billing Functions
invline.maint,Invoice Line Commission Maint.
ablist,Auto Billing Processing Code List
abwarn,Auto Billing Warning Maintenance
custab,Auto Billing Customer Set-Up
hndl.insrn.mnt,Handling & Insurance Maint
mx-adden-maint,Mexico Addendum Maintenance
bom,BOM Bill of Materials and Routing
mfg.log,MFG Log On/Off
bom.maintenanc,File Maintenance
bom.report,Management Reporting Menu
bom.inquiry,Inquiry Menu
bom.inquiry,Inquiry Menu
single.comp.in,Single-level Component Inquiry
bomrevinq,BOM/Routing Inquiry
oper.inq,Operations Inquiry
wk.inquiry,Work Center Inquiry
opt.bill.inq,Options Bill Inquiry
std.cost.inq,Std Cost Rollup Simulation Inquiry
where.used,Single Where Used BOM Inquiry
multi.bom.inq,:
machine.inq,Machine Inquiry
mach.hist.inq,Machine History Inquiry
blank,:
bom.cap,BOM/Routing Capacity Planning
exp.stock.mnt,Exp Stock Maintenance
die-validation,Die Re-Validation Browse
cm-pct.maint,Contribution Margin% Maint
est-cap.maint,Estimating Capacity Maintenance
gang-lbr.maint,Labor Entry Work Center Maint
bom.maintenanc,File Maintenance
bom.route,Bom/Routing Maintenance
bom.est,Estimating
machine.maint,Machine Maintenance
workc.maint,Work Center Maintenance
cost.maint,Cost Maintenance
wctype.maint,Work Center Type Maintenance
shop.calendar,Shop Calendar Maintenance
coprod.maint,Coproduct Maintenance
wcnotes.maint,Work Center Notes Maintenance
laborcd.maint,Labor Code Maintenance
voc.codes,VOC Specification Codes
die.maint,Die Maintenance
pms.maint,PMS Ink File Maintenance
bom.ink,Bom For Inks Maintenance
xref.ink,Ink-Xref File Maintenance
mfg.ctrl.maint,MFG Control-File Maintenance
bom.list,Bill of Material List
routing.list,Routing List
machine.list,Machine List
workc.list,Work Center List
cost.list,Cost List
wctype.list,Work Center Type Listing
shop.cal.list,Shop Calendar List
coprod.list,Coproduct List
rpt.pms,PMS Spec Report
mfg.ctrl.list,Mfg Control File List
lc.list,Labor Code Listing
def.whs,Default Whs for BOM Maint
mfg.wc.maint,MFG Work Center Maintenance
bom.report,Management Reporting Menu
indented.bom,Indented Bill of Material Report
bom.routing,Indented BOM with Routings Report
alternate.rout,Std and Alternate Routings Report
summary.explos,Summarized Multi Level Explosion
multrpt,Where-Used for Multiple Items
wc.where.used,Work Center Where Used Report
single.where,Single Level Where-used Report
multi.where,Multi-Level Where-used Report
pending.rev,Time Slice Revision Report
dieusedrpt,Die Last Validation Date Report
dievalrpt,Die Last Validation report
bm.stack.log,Stackable Log On/Off
reset.machine,Reset Machine Hours Used
resetwk,Reset Work Center Hours Worked
global.subst,Global Component Substitution
globalwc.subst,Global Work Center Substitution
std.cost.roll,Standard Cost Rollup Simulation
std.cost.updat,Standard Cost Update
abc.cost.reset,Reset ABC Cumulative Costs
auto.std.roll,Daily Standard Cost Rollup
blank,:
damfgcube,Manufacturing Cube Export
dawccube,Work Center Cube Export
dasalescube,Sales Cube Export
dafincube,Financial Cube Export
dalbrcube,Labor Cube Export
dademandload,Demand Based WC Load Cube Export
dainvusage,9 Box Inventory Cube Export
All-inv-turns,In-monthly-hist Table Build
cfm,Continuous Flow Manufacturing
cfm.overview,Overview Menu
mfg.log,MFG Log On/Off
cfm.maintenanc,File Maintenance Menu
cfm.transactio,Transaction Processing Menu
cfm.report,Management Reporting Menu
cfm.inquiry,Inquiry Menu
cfm.system,System Management Menu
cfm.technical,Current Release Technical Notes
cfm.exec,Executive Reporter Menu
cfm.exec,Executive Reporter Menu
cfm.inquiry,Inquiry Menu
bom.rev.inq,BOM Revision Inquiry
single.comp.in,Single-level Component Inquiry
rout.rev.inq,Routing Revision Inquiry
oper.inq,Operations Inquiry
wk.inquiry,Work Center Inquiry
wc.prod.inq,Work Center Production Inquiry
wk.mat.var.inq,Work Center Material Variance Inq
container.inq,Container Inquiry
cont.hist.inq,Container History Inquiry
bin.inq,Process Bin Inquiry
bin.hist.inq,Process Bin History Inquiry
mlbomoper.inq,:
multi.bom.inq,:
slbomoper2.inq,:
slbomoper.inq,:
mlbomoper2.inq,:
machine.inq,Machine Inquiry
mach.hist.inq,Machine History Inquiry
cfm.maintenanc,File Maintenance Menu
formula.maint,Formula (BOM) Maintenance
process.maint,Process Stage(Routing) Maintenance
workcs.maint,Work Center Maintenance
cont.maint,Container Maintenance
machine.maint,Machine Maintenance
causec.maint,Reject Cause Maintenance
bin.maint,Process (Mfg) Bin Maintenance
density.maint,Item Density Maintenance
wip.density,WIP Density Maintenance
cost.maint,Cost Maintenance
abc.pool.maint,Activity Based Cost-ABC Pool Maint
shop.calendar,Shop Calendar Maintenance
mfg.ctrl.maint,MFG Control-File Maintenance
bomc.list,Bill of Material List
routingc.list,Routing List
workc.list,Work Center List
cont.list,Container List
machine.list,Machine List
cause.list,Reject Cause List
bin.list,Inventory Bin List
density.list,Item Density List
wipdens.list,Work in Process Density List
cost.list,Cost List
abc.list,Activity Based Cost (ABC) List
shop.cal.list,Shop Calendar List
mfg.ctrl.list,Mfg Control File List
cfm.und-cost,Understanding Mfg. cost CFM/JIT
cfm.overview,Overview Menu
cfm.features,System Features
